OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
21309,31000LL0025B0,31,LL,,31000LL0025B0,1997-14,1997/12/04 00:00:00+00,1308,9030,1997070502,1997/12/09 00:00:00+00,1970/01/01 00:00:00+00,,40
21310,36000LH006200,36,LH,,36000LH006200,2005-19,2005/09/13 00:00:00+00,1755,2335,2005070964,2005/09/14 00:00:00+00,1970/01/01 00:00:00+00,,117
21311,36000LH0079C0,36,LH,,36000LH0079C0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,21.56999969
21312,51000KG003100,51,KG,,51000KG003100,03-21,2003/09/25 00:00:00+00,1774,723,2005093427,2005/11/30 00:00:00+00,1970/01/01 00:00:00+00,,98.52999878
21313,3900036000100,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21314,3900036000200,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21315,3900036000300,39,36,,39000PH005400,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21316,35000HL0113N0,35,HL,,35000HL011300,2003-07,2003/03/13 00:00:00+00,1553,5328,2003023708,2003/03/18 00:00:00+00,1970/01/01 00:00:00+00,,0
21317,3600047001700,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,25
21318,3600047001800,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21319,3600047001900,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21320,3600047002000,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21321,3600047002100,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21322,3600047002200,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21323,3600050004600,36,50,,36000LH0088A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21324,3600046000500,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21325,3600046000500,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21326,3600046004500,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21327,3600046000800,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21328,36000LH007800,36,46,,36000LH007800,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,20.89999962
21329,3600046001200,36,46,,36000050044A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21330,3600046001300,36,46,,36000050044A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21331,3600046004300,36,46,,36000050044A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21332,3600046001500,36,46,,36000050044A0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21333,3600046003900,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21334,3600046002200,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21335,3600046002300,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21336,3600046002400,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21337,3600046004400,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21338,3600046000400,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21339,3600046002800,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21340,3600046002900,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21341,3600046002700,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21342,3600046004000,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21343,3600046004200,36,46,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21344,3600047000100,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21345,3600047000200,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21346,3600047000300,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21347,3600047000400,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21348,3600047000500,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21349,3600047000600,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21350,3600047000700,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21351,3600047000800,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
